lat;lon;validdate;t_2m:C;relative_humidity_2m:p;wind_speed_10m:kmh;air_density_10m:kgm3;precip_24h:mm;co:ugm3
32.77194;-124.234004;2020-03-15T12:00:00Z;13.1;80.9;30.6;1.232;0.51;105.247
32.77194;-124.234004;2020-03-16T12:00:00Z;10.7;81.3;31.8;1.240;3.84;120.807
32.77194;-124.234004;2020-03-17T12:00:00Z;11.4;60.5;20.5;1.237;1.07;120.760
32.77194;-124.234004;2020-03-18T12:00:00Z;11.4;65.8;27.0;1.238;0.55;111.385
32.77194;-124.234004;2020-03-19T12:00:00Z;12.3;72.0;25.9;1.235;0.79;108.832
32.77194;-124.234004;2020-03-20T12:00:00Z;13.1;74.2;14.4;1.234;0.02;93.848
32.77194;-124.234004;2020-03-21T12:00:00Z;13.8;86.6;24.8;1.227;3.14;111.585
32.77194;-124.234004;2020-03-22T12:00:00Z;13.6;89.7;20.0;1.225;8.44;95.542
32.77194;-124.234004;2020-03-23T12:00:00Z;12.9;84.8;19.0;1.234;1.08;89.310
32.77194;-124.234004;2020-03-24T12:00:00Z;12.1;80.2;21.6;1.244;0.43;105.762
32.77194;-124.234004;2020-03-25T12:00:00Z;12.1;72.4;23.3;1.241;0.86;112.655
32.77194;-124.234004;2020-03-26T12:00:00Z;11.0;69.4;31.9;1.247;0.64;118.598
32.77194;-124.234004;2020-03-27T12:00:00Z;11.8;57.1;27.3;1.246;1.05;123.233
32.77194;-124.234004;2020-03-28T12:00:00Z;12.6;69.1;15.1;1.243;0.11;132.412
32.77194;-124.234004;2020-03-29T12:00:00Z;13.0;82.8;24.4;1.237;0.03;116.093
32.77194;-124.234004;2020-03-30T12:00:00Z;12.7;76.0;22.4;1.243;0.04;99.019
32.77194;-124.234004;2020-03-31T12:00:00Z;13.3;88.7;27.1;1.239;0.01;83.141
32.77194;-124.234004;2020-04-01T12:00:00Z;13.2;87.1;32.9;1.232;0.12;97.198
32.77194;-124.234004;2020-04-02T12:00:00Z;11.7;69.5;40.7;1.242;0.16;120.428
32.77194;-124.234004;2020-04-03T12:00:00Z;11.8;70.3;37.4;1.245;0.00;115.979
32.77194;-124.234004;2020-04-04T12:00:00Z;12.9;76.8;28.0;1.233;0.06;99.483
32.77194;-124.234004;2020-04-05T12:00:00Z;13.5;89.7;33.7;1.220;0.41;97.363
32.77194;-124.234004;2020-04-06T12:00:00Z;12.2;67.9;30.1;1.228;1.47;116.799
32.77194;-124.234004;2020-04-07T12:00:00Z;10.1;81.4;3.6;1.245;1.71;119.559
32.77194;-124.234004;2020-04-08T12:00:00Z;11.9;71.0;28.0;1.239;3.06;119.457
32.77194;-124.234004;2020-04-09T12:00:00Z;12.6;87.5;29.6;1.235;0.53;113.898
32.77194;-124.234004;2020-04-10T12:00:00Z;13.1;85.7;26.8;1.232;0.56;119.588
32.77194;-124.234004;2020-04-11T12:00:00Z;12.9;86.2;26.6;1.234;0.76;109.298
32.77194;-124.234004;2020-04-12T12:00:00Z;12.1;85.0;31.2;1.240;0.39;96.404
32.77194;-124.234004;2020-04-13T12:00:00Z;11.9;79.5;26.6;1.244;0.25;97.633
32.77194;-124.234004;2020-04-14T12:00:00Z;12.7;78.2;31.2;1.242;0.00;118.845
32.77194;-124.234004;2020-04-15T12:00:00Z;13.0;85.2;28.7;1.237;0.00;125.572
32.77194;-124.234004;2020-04-16T12:00:00Z;13.4;86.0;27.9;1.229;0.10;98.648
32.77194;-124.234004;2020-04-17T12:00:00Z;12.9;81.7;24.3;1.231;0.41;88.963
32.77194;-124.234004;2020-04-18T12:00:00Z;13.5;68.3;24.2;1.232;0.24;88.958
32.77194;-124.234004;2020-04-19T12:00:00Z;13.7;71.9;17.4;1.232;0.01;97.547
32.77194;-124.234004;2020-04-20T12:00:00Z;14.5;92.8;20.7;1.226;0.13;77.258
32.77194;-124.234004;2020-04-21T12:00:00Z;12.9;80.6;31.3;1.243;0.27;94.318
32.77194;-124.234004;2020-04-22T12:00:00Z;13.6;87.1;37.2;1.240;0.00;88.457
32.77194;-124.234004;2020-04-23T12:00:00Z;14.3;92.9;42.8;1.235;0.12;95.104
32.77194;-124.234004;2020-04-24T12:00:00Z;14.6;86.9;35.4;1.228;0.04;103.374
32.77194;-124.234004;2020-04-25T12:00:00Z;14.2;91.0;37.9;1.227;0.00;81.483
32.77194;-124.234004;2020-04-26T12:00:00Z;14.0;90.0;35.4;1.228;0.00;93.600
32.77194;-124.234004;2020-04-27T12:00:00Z;13.7;88.3;34.7;1.233;0.03;95.374
32.77194;-124.234004;2020-04-28T12:00:00Z;13.5;96.2;37.4;1.234;0.07;77.186
32.77194;-124.234004;2020-04-29T12:00:00Z;13.9;92.0;33.4;1.230;0.34;83.551
32.77194;-124.234004;2020-04-30T12:00:00Z;14.4;87.5;36.1;1.229;0.28;85.979
32.77194;-124.234004;2020-05-01T12:00:00Z;14.2;87.4;29.9;1.230;0.13;114.790
32.77194;-124.234004;2020-05-02T12:00:00Z;14.6;89.1;23.2;1.227;0.00;83.952
32.77194;-124.234004;2020-05-03T12:00:00Z;15.3;87.5;25.5;1.227;0.11;86.624
32.77194;-124.234004;2020-05-04T12:00:00Z;13.7;80.0;31.2;1.235;0.17;97.953
32.77194;-124.234004;2020-05-05T12:00:00Z;14.8;89.3;30.8;1.227;0.00;76.970
32.77194;-124.234004;2020-05-06T12:00:00Z;15.0;80.6;40.0;1.228;0.02;115.940
32.77194;-124.234004;2020-05-07T12:00:00Z;14.9;77.1;40.6;1.224;0.00;113.243
32.77194;-124.234004;2020-05-08T12:00:00Z;15.1;81.3;30.5;1.218;0.00;100.774
32.77194;-124.234004;2020-05-09T12:00:00Z;14.8;86.6;21.8;1.220;0.00;87.951
32.77194;-124.234004;2020-05-10T12:00:00Z;13.8;84.5;9.9;1.226;0.01;85.053
32.77194;-124.234004;2020-05-11T12:00:00Z;15.0;88.1;19.6;1.220;0.00;103.685
32.77194;-124.234004;2020-05-12T12:00:00Z;15.8;87.3;21.5;1.218;0.15;93.342
32.77194;-124.234004;2020-05-13T12:00:00Z;15.6;79.8;19.1;1.222;0.04;93.022
32.77194;-124.234004;2020-05-14T12:00:00Z;16.0;94.6;18.6;1.221;0.02;79.949
32.77194;-124.234004;2020-05-15T12:00:00Z;16.0;87.0;25.5;1.223;0.11;79.438
32.77194;-124.234004;2020-05-16T12:00:00Z;15.9;87.9;29.8;1.219;0.10;64.119
32.77194;-124.234004;2020-05-17T12:00:00Z;17.0;91.5;24.5;1.207;0.03;80.950
32.77194;-124.234004;2020-05-18T12:00:00Z;16.5;78.5;30.8;1.212;2.11;103.649
32.77194;-124.234004;2020-05-19T12:00:00Z;15.9;73.0;32.8;1.222;0.09;94.332
32.77194;-124.234004;2020-05-20T12:00:00Z;15.8;78.3;29.2;1.225;0.09;98.619
32.77194;-124.234004;2020-05-21T12:00:00Z;15.8;72.9;35.6;1.223;0.38;85.328
32.77194;-124.234004;2020-05-22T12:00:00Z;15.6;80.6;40.1;1.220;0.28;93.312
32.77194;-124.234004;2020-05-23T12:00:00Z;15.2;71.7;39.5;1.224;0.15;101.063
32.77194;-124.234004;2020-05-24T12:00:00Z;15.5;78.3;34.9;1.222;0.00;86.486
32.77194;-124.234004;2020-05-25T12:00:00Z;16.3;84.7;30.0;1.214;0.00;86.902
32.77194;-124.234004;2020-05-26T12:00:00Z;16.2;89.6;29.1;1.211;0.04;67.770
32.77194;-124.234004;2020-05-27T12:00:00Z;16.1;90.2;14.5;1.212;0.02;66.537
32.77194;-124.234004;2020-05-28T12:00:00Z;15.6;92.1;10.8;1.216;0.02;77.347
32.77194;-124.234004;2020-05-29T12:00:00Z;15.8;91.0;11.7;1.215;1.38;87.838
32.77194;-124.234004;2020-05-30T12:00:00Z;16.3;85.3;29.0;1.213;0.12;76.143
32.77194;-124.234004;2020-05-31T12:00:00Z;16.0;77.9;14.9;1.217;0.07;85.159
32.77194;-123.705546;2020-03-15T12:00:00Z;13.4;80.4;29.9;1.231;0.31;105.044
32.77194;-123.705546;2020-03-16T12:00:00Z;11.4;84.4;29.5;1.236;3.70;122.049
32.77194;-123.705546;2020-03-17T12:00:00Z;11.5;60.3;21.4;1.237;2.01;120.253
32.77194;-123.705546;2020-03-18T12:00:00Z;11.4;66.8;27.6;1.237;1.05;111.229
32.77194;-123.705546;2020-03-19T12:00:00Z;12.3;74.4;26.2;1.234;0.54;110.818
32.77194;-123.705546;2020-03-20T12:00:00Z;13.0;72.0;13.1;1.235;0.02;95.201
32.77194;-123.705546;2020-03-21T12:00:00Z;13.8;86.2;23.4;1.227;2.69;111.496
32.77194;-123.705546;2020-03-22T12:00:00Z;13.7;91.7;27.8;1.225;9.12;94.108
32.77194;-123.705546;2020-03-23T12:00:00Z;13.1;84.7;22.9;1.233;3.47;94.361
32.77194;-123.705546;2020-03-24T12:00:00Z;12.5;77.3;20.7;1.242;0.22;106.849
32.77194;-123.705546;2020-03-25T12:00:00Z;11.9;79.0;23.3;1.242;0.60;109.483
32.77194;-123.705546;2020-03-26T12:00:00Z;11.0;70.0;27.7;1.246;0.62;119.024
32.77194;-123.705546;2020-03-27T12:00:00Z;11.5;65.2;32.4;1.247;1.94;121.882
32.77194;-123.705546;2020-03-28T12:00:00Z;12.5;72.8;16.0;1.243;0.03;133.063
32.77194;-123.705546;2020-03-29T12:00:00Z;13.1;81.8;24.5;1.236;0.03;113.848
32.77194;-123.705546;2020-03-30T12:00:00Z;12.8;77.8;26.2;1.242;0.06;99.606
32.77194;-123.705546;2020-03-31T12:00:00Z;13.3;86.9;31.2;1.239;0.00;85.195
32.77194;-123.705546;2020-04-01T12:00:00Z;13.3;85.6;36.2;1.231;0.14;93.800
32.77194;-123.705546;2020-04-02T12:00:00Z;11.8;70.1;41.2;1.241;0.16;121.130
32.77194;-123.705546;2020-04-03T12:00:00Z;11.7;72.4;38.8;1.244;0.00;117.088
32.77194;-123.705546;2020-04-04T12:00:00Z;12.9;73.0;31.4;1.233;0.01;103.330
32.77194;-123.705546;2020-04-05T12:00:00Z;13.4;88.4;32.8;1.221;0.58;99.587
32.77194;-123.705546;2020-04-06T12:00:00Z;12.5;68.5;29.0;1.227;1.95;117.920
32.77194;-123.705546;2020-04-07T12:00:00Z;10.3;76.6;7.1;1.244;0.69;118.030
32.77194;-123.705546;2020-04-08T12:00:00Z;11.9;70.6;25.8;1.238;3.02;118.405
32.77194;-123.705546;2020-04-09T12:00:00Z;12.9;84.3;29.7;1.234;0.83;111.962
32.77194;-123.705546;2020-04-10T12:00:00Z;13.0;85.3;25.5;1.232;0.96;119.087
32.77194;-123.705546;2020-04-11T12:00:00Z;12.9;89.4;19.0;1.233;0.24;109.058
32.77194;-123.705546;2020-04-12T12:00:00Z;12.6;84.1;32.9;1.237;0.41;95.875
32.77194;-123.705546;2020-04-13T12:00:00Z;11.7;80.4;27.7;1.244;0.31;96.976
32.77194;-123.705546;2020-04-14T12:00:00Z;12.6;79.0;31.5;1.242;0.00;120.631
32.77194;-123.705546;2020-04-15T12:00:00Z;13.0;85.0;28.5;1.237;0.00;128.606
32.77194;-123.705546;2020-04-16T12:00:00Z;13.2;87.1;26.8;1.229;0.03;98.671
32.77194;-123.705546;2020-04-17T12:00:00Z;13.0;79.5;24.9;1.231;0.44;88.110
32.77194;-123.705546;2020-04-18T12:00:00Z;13.0;74.4;22.0;1.234;0.31;89.920
32.77194;-123.705546;2020-04-19T12:00:00Z;13.5;74.3;17.5;1.233;0.05;98.944
32.77194;-123.705546;2020-04-20T12:00:00Z;14.2;91.8;14.1;1.228;0.21;77.494
32.77194;-123.705546;2020-04-21T12:00:00Z;13.1;77.8;34.8;1.241;0.40;93.306
32.77194;-123.705546;2020-04-22T12:00:00Z;13.6;87.5;38.4;1.240;0.00;87.692
32.77194;-123.705546;2020-04-23T12:00:00Z;14.1;93.4;42.9;1.235;0.10;94.931
32.77194;-123.705546;2020-04-24T12:00:00Z;15.0;83.6;42.0;1.226;0.05;104.797
32.77194;-123.705546;2020-04-25T12:00:00Z;14.5;91.6;37.5;1.225;0.00;81.540
32.77194;-123.705546;2020-04-26T12:00:00Z;14.1;90.0;37.0;1.227;0.01;94.121
32.77194;-123.705546;2020-04-27T12:00:00Z;13.8;89.6;35.2;1.232;0.00;96.023
32.77194;-123.705546;2020-04-28T12:00:00Z;14.2;94.8;38.8;1.230;0.05;77.280
32.77194;-123.705546;2020-04-29T12:00:00Z;14.0;92.5;35.9;1.229;0.29;85.439
