lat;lon;validdate;t_2m:C;relative_humidity_2m:p;wind_speed_10m:kmh;air_density_10m:kgm3;precip_24h:mm;co:ugm3
37.008677;-91.580004;2020-03-15T12:00:00Z;1.9;83.7;12.8;1.254;30.80;147.140
37.008677;-91.580004;2020-03-16T12:00:00Z;1.5;83.2;7.2;1.247;0.00;147.636
37.008677;-91.580004;2020-03-17T12:00:00Z;5.5;99.1;9.5;1.227;22.97;150.443
37.008677;-91.580004;2020-03-18T12:00:00Z;7.6;99.9;11.6;1.207;17.70;163.876
37.008677;-91.580004;2020-03-19T12:00:00Z;16.1;99.9;14.5;1.166;16.57;99.668
37.008677;-91.580004;2020-03-20T12:00:00Z;14.6;72.0;13.6;1.177;22.33;112.840
37.008677;-91.580004;2020-03-21T12:00:00Z;1.3;67.9;9.3;1.257;0.00;132.170
37.008677;-91.580004;2020-03-22T12:00:00Z;1.4;85.8;9.3;1.249;0.17;159.669
37.008677;-91.580004;2020-03-23T12:00:00Z;4.7;97.2;7.8;1.224;4.47;177.717
37.008677;-91.580004;2020-03-24T12:00:00Z;6.0;90.1;14.2;1.212;7.07;182.595
37.008677;-91.580004;2020-03-25T12:00:00Z;6.8;96.2;4.5;1.210;16.07;187.392
37.008677;-91.580004;2020-03-26T12:00:00Z;9.8;97.9;14.1;1.187;0.00;176.320
37.008677;-91.580004;2020-03-27T12:00:00Z;16.5;89.7;9.9;1.154;0.00;138.759
37.008677;-91.580004;2020-03-28T12:00:00Z;19.7;80.9;16.9;1.141;0.00;139.403
37.008677;-91.580004;2020-03-29T12:00:00Z;8.3;57.6;19.4;1.204;10.60;123.925
37.008677;-91.580004;2020-03-30T12:00:00Z;6.8;76.8;8.5;1.217;0.00;154.085
37.008677;-91.580004;2020-03-31T12:00:00Z;8.7;99.8;5.5;1.201;10.00;122.826
37.008677;-91.580004;2020-04-01T12:00:00Z;3.2;95.1;7.3;1.228;0.00;151.761
37.008677;-91.580004;2020-04-02T12:00:00Z;8.5;73.8;10.0;1.207;0.00;165.523
37.008677;-91.580004;2020-04-03T12:00:00Z;11.2;95.4;7.6;1.191;7.53;163.776
37.008677;-91.580004;2020-04-04T12:00:00Z;4.6;88.2;14.0;1.226;0.00;139.498
37.008677;-91.580004;2020-04-05T12:00:00Z;6.6;98.9;1.5;1.215;0.00;151.726
37.008677;-91.580004;2020-04-06T12:00:00Z;8.8;98.1;8.5;1.203;0.00;183.319
37.008677;-91.580004;2020-04-07T12:00:00Z;14.7;98.1;10.0;1.170;0.00;160.607
37.008677;-91.580004;2020-04-08T12:00:00Z;15.5;97.3;9.2;1.161;0.00;142.064
37.008677;-91.580004;2020-04-09T12:00:00Z;8.4;65.5;11.0;1.205;0.00;117.953
