lat;lon;validdate;t_2m:C;relative_humidity_2m:p;wind_speed_10m:kmh;air_density_10m:kgm3;precip_24h:mm;co:ugm3
41.996699;-73.442901;2020-03-15T12:00:00Z;-0.7;75.4;10.6;1.261;0.00;138.214
41.996699;-73.442901;2020-03-16T12:00:00Z;-5.4;40.9;7.7;1.291;0.00;155.410
41.996699;-73.442901;2020-03-17T12:00:00Z;0.5;93.8;13.2;1.245;0.17;153.195
41.996699;-73.442901;2020-03-18T12:00:00Z;-0.8;60.5;9.3;1.260;0.00;168.245
41.996699;-73.442901;2020-03-19T12:00:00Z;1.1;97.9;11.8;1.245;34.07;155.712
41.996699;-73.442901;2020-03-20T12:00:00Z;6.6;98.3;17.5;1.206;0.00;237.535
41.996699;-73.442901;2020-03-21T12:00:00Z;-1.0;63.9;20.0;1.254;6.23;122.905
41.996699;-73.442901;2020-03-22T12:00:00Z;-5.5;49.5;9.3;1.292;0.00;148.694
41.996699;-73.442901;2020-03-23T12:00:00Z;-2.6;79.0;14.8;1.273;2.23;147.984
41.996699;-73.442901;2020-03-24T12:00:00Z;-1.4;92.5;15.1;1.249;38.57;153.369
41.996699;-73.442901;2020-03-25T12:00:00Z;-0.3;81.6;12.1;1.245;0.00;197.061
41.996699;-73.442901;2020-03-26T12:00:00Z;-0.8;82.9;3.4;1.243;0.00;210.313
41.996699;-73.442901;2020-03-27T12:00:00Z;5.5;91.2;15.6;1.205;0.00;193.045
41.996699;-73.442901;2020-03-28T12:00:00Z;3.5;61.5;9.1;1.227;0.00;193.704
41.996699;-73.442901;2020-03-29T12:00:00Z;5.6;96.0;19.8;1.214;18.87;146.794
41.996699;-73.442901;2020-03-30T12:00:00Z;2.6;90.3;6.5;1.225;1.57;143.483
41.996699;-73.442901;2020-03-31T12:00:00Z;0.6;91.2;8.9;1.238;1.43;134.680
41.996699;-73.442901;2020-04-01T12:00:00Z;-0.0;75.5;6.6;1.233;0.00;208.282
41.996699;-73.442901;2020-04-02T12:00:00Z;2.0;72.3;25.8;1.219;0.00;140.739
41.996699;-73.442901;2020-04-03T12:00:00Z;2.6;100.0;18.5;1.211;1.73;138.674
41.996699;-73.442901;2020-04-04T12:00:00Z;4.6;83.6;12.6;1.218;2.93;121.530
41.996699;-73.442901;2020-04-05T12:00:00Z;7.4;84.4;2.1;1.205;0.00;306.405
41.996699;-73.442901;2020-04-06T12:00:00Z;4.5;83.9;12.2;1.220;0.00;153.577
41.996699;-73.442901;2020-04-07T12:00:00Z;6.5;58.7;9.5;1.208;0.00;195.512
41.996699;-73.442901;2020-04-08T12:00:00Z;5.8;86.6;7.8;1.194;18.80;146.042
41.996699;-73.442901;2020-04-09T12:00:00Z;6.0;89.3;16.0;1.188;0.00;209.567
41.996699;-73.442901;2020-04-10T12:00:00Z;1.4;63.7;18.8;1.203;21.73;117.852
41.996699;-73.442901;2020-04-11T12:00:00Z;1.2;68.4;14.3;1.226;0.00;121.929
41.996699;-73.442901;2020-04-12T12:00:00Z;3.8;54.8;10.5;1.229;0.00;174.031
41.996699;-73.442901;2020-04-13T12:00:00Z;10.6;99.9;28.8;1.181;29.20;130.994
41.996699;-73.442901;2020-04-14T12:00:00Z;4.7;57.3;16.3;1.220;19.27;131.395
41.996699;-73.442901;2020-04-15T12:00:00Z;1.0;63.7;15.3;1.234;0.00;143.804
41.996699;-73.442901;2020-04-16T12:00:00Z;-0.2;66.7;13.0;1.242;1.03;150.958
41.996699;-73.442901;2020-04-17T12:00:00Z;-0.5;62.8;11.3;1.252;0.00;149.774
41.996699;-73.442901;2020-04-18T12:00:00Z;0.6;94.9;9.4;1.226;2.80;191.019
41.996699;-73.442901;2020-04-19T12:00:00Z;2.4;66.1;13.5;1.222;0.33;161.312
41.996699;-73.442901;2020-04-20T12:00:00Z;2.9;77.0;15.4;1.215;0.00;125.441
41.996699;-73.442901;2020-04-21T12:00:00Z;5.2;83.5;15.7;1.197;0.00;282.083
41.996699;-73.442901;2020-04-22T12:00:00Z;-1.0;58.0;18.1;1.233;16.40;119.356
41.996699;-73.442901;2020-04-23T12:00:00Z;-0.0;52.4;10.9;1.241;0.00;150.900
41.996699;-73.442901;2020-04-24T12:00:00Z;2.9;94.2;12.1;1.216;11.77;212.129
41.996699;-73.442901;2020-04-25T12:00:00Z;5.6;64.2;7.5;1.215;7.20;251.977
41.996699;-73.442901;2020-04-26T12:00:00Z;6.1;51.9;12.7;1.214;1.17;162.513
41.996699;-73.442901;2020-04-27T12:00:00Z;2.1;94.4;13.8;1.223;16.53;138.785
41.996699;-73.442901;2020-04-28T12:00:00Z;2.8;92.8;11.8;1.231;0.00;114.970
41.996699;-73.442901;2020-04-29T12:00:00Z;7.4;68.6;10.2;1.214;0.00;199.642
41.996699;-73.442901;2020-04-30T12:00:00Z;4.9;96.0;23.8;1.222;4.57;116.837
41.996699;-73.442901;2020-05-01T12:00:00Z;10.9;97.5;5.1;1.178;20.83;153.652
41.996699;-73.442901;2020-05-02T12:00:00Z;7.3;71.8;12.7;1.205;7.00;121.654
41.996699;-73.442901;2020-05-03T12:00:00Z;11.5;78.5;13.7;1.179;6.17;151.950
41.996699;-73.442901;2020-05-04T12:00:00Z;11.4;57.0;8.1;1.176;0.00;139.369
41.996699;-73.442901;2020-05-05T12:00:00Z;2.0;57.6;22.4;1.226;0.00;99.460
41.996699;-73.442901;2020-05-06T12:00:00Z;5.5;62.0;9.6;1.211;0.00;141.630
41.996699;-73.442901;2020-05-07T12:00:00Z;6.1;62.5;10.7;1.203;0.00;152.964
41.996699;-73.442901;2020-05-08T12:00:00Z;5.5;55.3;11.8;1.209;0.00;130.433
41.996699;-73.442901;2020-05-09T12:00:00Z;-0.8;66.8;24.8;1.231;0.50;107.107
41.996699;-73.442901;2020-05-10T12:00:00Z;3.2;66.1;16.4;1.226;0.43;137.308
41.996699;-73.442901;2020-05-11T12:00:00Z;7.7;70.4;7.2;1.199;0.00;183.431
41.996699;-73.442901;2020-05-12T12:00:00Z;3.5;66.1;18.8;1.222;12.57;108.203
41.996699;-73.442901;2020-05-13T12:00:00Z;2.7;60.9;6.0;1.239;0.00;116.408
41.996699;-73.442901;2020-05-14T12:00:00Z;6.5;52.3;0.5;1.224;0.00;157.067
41.996699;-73.442901;2020-05-15T12:00:00Z;13.7;93.6;8.8;1.175;0.67;203.340
41.996699;-73.442901;2020-05-16T12:00:00Z;11.8;87.2;16.3;1.187;13.40;160.613
41.996699;-73.442901;2020-05-17T12:00:00Z;10.8;71.9;9.8;1.203;1.33;138.632
41.996699;-73.442901;2020-05-18T12:00:00Z;11.9;88.7;4.2;1.192;0.73;178.397
41.996699;-73.442901;2020-05-19T12:00:00Z;10.4;51.4;15.1;1.204;0.00;164.072
41.996699;-73.442901;2020-05-20T12:00:00Z;9.3;55.2;8.7;1.217;0.00;139.633
41.996699;-73.442901;2020-05-21T12:00:00Z;9.4;48.9;1.5;1.214;0.00;125.359
41.996699;-73.442901;2020-05-22T12:00:00Z;14.8;79.9;7.7;1.180;0.00;159.456
